x,crit(x)
-18.0,100.0
-17.99,100.0
-17.979999999999997,100.0
-17.969999999999995,100.0
-17.959999999999994,100.0
-17.949999999999992,100.0
-17.93999999999999,100.0
-17.92999999999999,100.0
-17.919999999999987,100.0
-17.909999999999986,100.0
-17.899999999999984,100.0
-17.889999999999983,100.0
-17.87999999999998,100.0
-17.86999999999998,100.0
-17.859999999999978,100.0
-17.849999999999977,100.0
-17.839999999999975,100.0
-17.829999999999973,100.0
-17.819999999999972,100.0
-17.80999999999997,100.0
-17.79999999999997,100.0
-17.789999999999967,100.0
-17.779999999999966,100.0
-17.769999999999964,100.0
-17.759999999999962,100.0
-17.74999999999996,100.0
-17.73999999999996,100.0
-17.729999999999958,100.0
-17.719999999999956,100.0
-17.709999999999955,100.0
-17.699999999999953,100.0
-17.68999999999995,100.0
-17.67999999999995,100.0
-17.66999999999995,100.0
-17.659999999999947,100.0
-17.649999999999945,100.0
-17.639999999999944,100.0
-17.629999999999942,100.0
-17.61999999999994,100.0
-17.60999999999994,100.0
-17.599999999999937,100.0
-17.589999999999936,100.0
-17.579999999999934,100.0
-17.569999999999933,100.0
-17.55999999999993,100.0
-17.54999999999993,100.0
-17.539999999999928,100.0
-17.529999999999927,100.0
-17.519999999999925,100.0
-17.509999999999923,100.0
-17.499999999999922,100.0
-17.48999999999992,100.0
-17.47999999999992,100.0
-17.469999999999917,100.0
-17.459999999999916,100.0
-17.449999999999914,100.0
-17.439999999999912,100.0
-17.42999999999991,100.0
-17.41999999999991,100.0
-17.409999999999908,100.0
-17.399999999999906,100.0
-17.389999999999905,100.0
-17.379999999999903,100.0
-17.3699999999999,100.0
-17.3599999999999,100.0
-17.3499999999999,100.0
-17.339999999999897,100.0
-17.329999999999895,100.0
-17.319999999999894,100.0
-17.309999999999892,100.0
-17.29999999999989,100.0
-17.28999999999989,100.0
-17.279999999999887,100.0
-17.269999999999886,100.0
-17.259999999999884,100.0
-17.249999999999883,100.0
-17.23999999999988,100.0
-17.22999999999988,100.0
-17.219999999999878,100.0
-17.209999999999877,100.0
-17.199999999999875,100.0
-17.189999999999873,100.0
-17.179999999999872,100.0
-17.16999999999987,100.0
-17.15999999999987,100.0
-17.149999999999867,100.0
-17.139999999999866,100.0
-17.129999999999864,100.0
-17.119999999999862,100.0
-17.10999999999986,100.0
-17.09999999999986,100.0
-17.089999999999858,100.0
-17.079999999999856,100.0
-17.069999999999855,100.0
-17.059999999999853,100.0
-17.04999999999985,100.0
-17.03999999999985,100.0
-17.02999999999985,100.0
-17.019999999999847,100.0
-17.009999999999845,100.0
-16.999999999999844,100.0
-16.989999999999842,100.0
-16.97999999999984,100.0
-16.96999999999984,100.0
-16.959999999999837,100.0
-16.949999999999836,100.0
-16.939999999999834,100.0
-16.929999999999833,100.0
-16.91999999999983,100.0
-16.90999999999983,100.0
-16.899999999999828,100.0
-16.889999999999826,100.0
-16.879999999999825,100.0
-16.869999999999823,100.0
-16.859999999999822,100.0
-16.84999999999982,100.0
-16.83999999999982,100.0
-16.829999999999817,100.0
-16.819999999999816,100.0
-16.809999999999814,100.0
-16.799999999999812,100.0
-16.78999999999981,100.0
-16.77999999999981,100.0
-16.769999999999808,100.0
-16.759999999999806,100.0
-16.749999999999805,100.0
-16.739999999999803,100.0
-16.7299999999998,100.0
-16.7199999999998,100.0
-16.7099999999998,100.0
-16.699999999999797,100.0
-16.689999999999795,100.0
-16.679999999999794,100.0
-16.669999999999792,100.0
-16.65999999999979,100.0
-16.64999999999979,100.0
-16.639999999999787,100.0
-16.629999999999786,100.0
-16.619999999999784,100.0
-16.609999999999783,100.0
-16.59999999999978,100.0
-16.58999999999978,100.0
-16.579999999999778,100.0
-16.569999999999776,100.0
-16.559999999999775,100.0
-16.549999999999773,100.0
-16.53999999999977,100.0
-16.52999999999977,100.0
-16.51999999999977,100.0
-16.509999999999767,100.0
-16.499999999999766,100.0
-16.489999999999764,100.0
-16.479999999999762,100.0
-16.46999999999976,100.0
-16.45999999999976,100.0
-16.449999999999758,100.0
-16.439999999999756,100.0
-16.429999999999755,100.0
-16.419999999999753,100.0
-16.40999999999975,100.0
-16.39999999999975,100.0
-16.38999999999975,100.0
-16.379999999999747,100.0
-16.369999999999745,100.0
-16.359999999999744,100.0
-16.349999999999742,100.0
-16.33999999999974,100.0
-16.32999999999974,100.0
-16.319999999999737,100.0
-16.309999999999736,100.0
-16.299999999999734,100.0
-16.289999999999733,100.0
-16.27999999999973,100.0
-16.26999999999973,100.0
-16.259999999999728,100.0
-16.249999999999726,100.0
-16.239999999999725,100.0
-16.229999999999723,100.0
-16.21999999999972,100.0
-16.20999999999972,100.0
-16.19999999999972,100.0
-16.189999999999717,100.0
-16.179999999999715,100.0
-16.169999999999714,100.0
-16.159999999999712,100.0
-16.14999999999971,100.0
-16.13999999999971,100.0
-16.129999999999708,100.0
-16.119999999999706,100.0
-16.109999999999705,100.0
-16.099999999999703,100.0
-16.0899999999997,100.0
-16.0799999999997,100.0
-16.0699999999997,100.0
-16.059999999999697,100.0
-16.049999999999695,100.0
-16.039999999999694,100.0
-16.029999999999692,100.0
-16.01999999999969,100.0
-16.00999999999969,100.0
-15.99999999999969,100.0
-15.98999999999969,100.0
-15.97999999999969,100.0
-15.96999999999969,100.0
-15.95999999999969,100.0
-15.94999999999969,100.0
-15.93999999999969,100.0
-15.92999999999969,100.0
-15.91999999999969,100.0
-15.909999999999691,100.0
-15.899999999999691,100.0
-15.889999999999691,100.0
-15.879999999999692,100.0
-15.869999999999692,100.0
-15.859999999999692,100.0
-15.849999999999692,100.0
-15.839999999999693,100.0
-15.829999999999693,100.0
-15.819999999999693,100.0
-15.809999999999693,100.0
-15.799999999999693,100.0
-15.789999999999694,100.0
-15.779999999999694,100.0
-15.769999999999694,100.0
-15.759999999999694,100.0
-15.749999999999694,100.0
-15.739999999999695,100.0
-15.729999999999695,100.0
-15.719999999999695,100.0
-15.709999999999695,100.0
-15.699999999999696,100.0
-15.689999999999696,100.0
-15.679999999999696,100.0
-15.669999999999696,100.0
-15.659999999999696,100.0
-15.649999999999697,100.0
-15.639999999999697,100.0
-15.629999999999697,100.0
-15.619999999999697,100.0
-15.609999999999697,100.0
-15.599999999999698,100.0
-15.589999999999698,100.0
-15.579999999999698,100.0
-15.569999999999698,100.0
-15.559999999999699,100.0
-15.549999999999699,100.0
-15.539999999999699,100.0
-15.5299999999997,100.0
-15.5199999999997,100.0
-15.5099999999997,100.0
-15.4999999999997,100.0
-15.4899999999997,100.0
-15.4799999999997,100.0
-15.4699999999997,100.0
-15.4599999999997,100.0
-15.4499999999997,100.0
-15.439999999999701,100.0
-15.429999999999701,100.0
-15.419999999999702,100.0
-15.409999999999702,100.0
-15.399999999999702,100.0
-15.389999999999702,100.0
-15.379999999999702,100.0
-15.369999999999703,100.0
-15.359999999999703,100.0
-15.349999999999703,100.0
-15.339999999999703,100.0
-15.329999999999703,100.0
-15.319999999999704,100.0
-15.309999999999704,100.0
-15.299999999999704,100.0
-15.289999999999704,100.0
-15.279999999999704,100.0
-15.269999999999705,100.0
-15.259999999999705,100.0
-15.249999999999705,100.0
-15.239999999999705,100.0
-15.229999999999706,100.0
-15.219999999999706,100.0
-15.209999999999706,100.0
-15.199999999999706,100.0
-15.189999999999706,100.0
-15.179999999999707,100.0
-15.169999999999707,100.0
-15.159999999999707,100.0
-15.149999999999707,100.0
-15.139999999999707,100.0
-15.129999999999708,100.0
-15.119999999999708,100.0
-15.109999999999708,100.0
-15.099999999999708,100.0
-15.089999999999709,100.0
-15.079999999999709,100.0
-15.069999999999709,100.0
-15.05999999999971,100.0
-15.04999999999971,100.0
-15.03999999999971,100.0
-15.02999999999971,100.0
-15.01999999999971,100.0
-15.00999999999971,100.0
-14.99999999999971,100.0
-14.98999999999971,99.99989473684211
-14.97999999999971,99.99957894736842
-14.969999999999711,99.99905263157893
-14.959999999999711,99.99831578947366
-14.949999999999712,99.99736842105261
-14.939999999999712,99.99621052631576
-14.929999999999712,99.99484210526312
-14.919999999999712,99.99326315789469
-14.909999999999712,99.99147368421048
-14.899999999999713,99.98947368421047
-14.889999999999713,99.98726315789467
-14.879999999999713,99.9848421052631
-14.869999999999713,99.98221052631573
-14.859999999999713,99.97936842105256
-14.849999999999714,99.9763157894736
-14.839999999999714,99.97305263157887
-14.829999999999714,99.96957894736833
-14.819999999999714,99.965894736842
-14.809999999999715,99.96199999999989
-14.799999999999715,99.957894736842
-14.789999999999715,99.9535789473683
-14.779999999999715,99.94905263157882
-14.769999999999715,99.94431578947355
-14.759999999999716,99.93936842105249
-14.749999999999716,99.93421052631564
-14.739999999999716,99.928842105263
-14.729999999999716,99.92326315789458
-14.719999999999716,99.91747368421036
-14.709999999999717,99.91147368421036
-14.699999999999717,99.90526315789457
-14.689999999999717,99.89884210526299
-14.679999999999717,99.89221052631561
-14.669999999999717,99.88536842105245
-14.659999999999718,99.87831578947349
-14.649999999999718,99.87105263157875
-14.639999999999718,99.86357894736823
-14.629999999999718,99.85589473684189
-14.619999999999719,99.84799999999979
-14.609999999999719,99.83989473684188
-14.599999999999719,99.83157894736819
-14.58999999999972,99.82305263157872
-14.57999999999972,99.81431578947344
-14.56999999999972,99.80536842105239
-14.55999999999972,99.79621052631553
-14.54999999999972,99.7868421052629
-14.53999999999972,99.77726315789448
-14.52999999999972,99.76747368421026
-14.51999999999972,99.75747368421025
-14.509999999999721,99.74726315789445
-14.499999999999721,99.73684210526287
-14.489999999999721,99.7262105263155
-14.479999999999722,99.71536842105233
-14.469999999999722,99.70431578947338
-14.459999999999722,99.69305263157864
-14.449999999999722,99.68157894736811
-14.439999999999722,99.66989473684178
-14.429999999999723,99.65799999999967
-14.419999999999723,99.64589473684177
-14.409999999999723,99.63357894736808
-14.399999999999723,99.6210526315786
-14.389999999999723,99.60831578947334
-14.379999999999724,99.59536842105229
-14.369999999999724,99.58221052631544
-14.359999999999724,99.56884210526279
-14.349999999999724,99.55526315789436
-14.339999999999725,99.54147368421016
-14.329999999999725,99.52747368421015
-14.319999999999725,99.51326315789434
-14.309999999999725,99.49884210526277
-14.299999999999725,99.4842105263154
-14.289999999999726,99.46936842105222
-14.279999999999726,99.45431578947327
-14.269999999999726,99.43905263157853
-14.259999999999726,99.42357894736801
-14.249999999999726,99.40789473684168
-14.239999999999727,99.39199999999957
-14.229999999999727,99.37589473684167
-14.219999999999727,99.35957894736798
-14.209999999999727,99.3430526315785
-14.199999999999728,99.32631578947323
-14.189999999999728,99.30936842105217
-14.179999999999728,99.29221052631533
-14.169999999999728,99.27484210526269
-14.159999999999728,99.25726315789427
-14.149999999999729,99.23947368421005
-14.139999999999729,99.22147368421004
-14.129999999999729,99.20326315789424
-14.11999999999973,99.18484210526266
-14.10999999999973,99.1662105263153
-14.09999999999973,99.14736842105212
-14.08999999999973,99.12831578947316
-14.07999999999973,99.10905263157844
-14.06999999999973,99.0895789473679
-14.05999999999973,99.06989473684158
-14.04999999999973,99.04999999999947
-14.039999999999731,99.02989473684157
-14.029999999999731,99.00957894736787
-14.019999999999731,98.9890526315784
-14.009999999999732,98.96831578947314
-13.999999999999732,98.94736842105208
-13.989999999999732,98.92621052631523
-13.979999999999732,98.90484210526259
-13.969999999999732,98.88326315789416
-13.959999999999733,98.86147368420995
-13.949999999999733,98.83947368420993
-13.939999999999733,98.81726315789415
-13.929999999999733,98.79484210526257
-13.919999999999733,98.77221052631519
-13.909999999999734,98.74936842105203
-13.899999999999734,98.72631578947308
-13.889999999999734,98.70305263157833
-13.879999999999734,98.6795789473678
-13.869999999999735,98.65589473684147
-13.859999999999735,98.63199999999938
-13.849999999999735,98.60789473684147
-13.839999999999735,98.58357894736778
-13.829999999999735,98.55905263157831
-13.819999999999736,98.53431578947303
-13.809999999999736,98.50936842105199
-13.799999999999736,98.48421052631512
-13.789999999999736,98.45884210526249
-13.779999999999736,98.43326315789406
-13.769999999999737,98.40747368420986
-13.759999999999737,98.38147368420985
-13.749999999999737,98.35526315789406
-13.739999999999737,98.32884210526247
-13.729999999999738,98.3022105263151
-13.719999999999738,98.27536842105192
-13.709999999999738,98.24831578947298
-13.699999999999738,98.22105263157823
-13.689999999999738,98.19357894736771
-13.679999999999739,98.16589473684138
-13.669999999999739,98.13799999999928
-13.659999999999739,98.10989473684137
-13.64999999999974,98.08157894736769
-13.63999999999974,98.05305263157821
-13.62999999999974,98.02431578947294
-13.61999999999974,97.9953684210519
-13.60999999999974,97.96621052631502
-13.59999999999974,97.9368421052624
-13.58999999999974,97.90726315789396
-13.57999999999974,97.87747368420976
-13.569999999999741,97.84747368420975
-13.559999999999741,97.81726315789396
-13.549999999999741,97.78684210526238
-13.539999999999742,97.756210526315
-13.529999999999742,97.72536842105184
-13.519999999999742,97.69431578947288
-13.509999999999742,97.66305263157815
-13.499999999999742,97.63157894736761
-13.489999999999743,97.59989473684129
-13.479999999999743,97.56799999999919
-13.469999999999743,97.53589473684129
-13.459999999999743,97.5035789473676
-13.449999999999743,97.47105263157812
-13.439999999999744,97.43831578947285
-13.429999999999744,97.40536842105179
-13.419999999999744,97.37221052631494
-13.409999999999744,97.3388421052623
-13.399999999999745,97.30526315789388
-13.389999999999745,97.27147368420967
-13.379999999999745,97.23747368420966
-13.369999999999745,97.20326315789387
-13.359999999999745,97.16884210526229
-13.349999999999746,97.13421052631492
-13.339999999999746,97.09936842105175
-13.329999999999746,97.0643157894728
-13.319999999999746,97.02905263157805
-13.309999999999746,96.99357894736752
-13.299999999999747,96.95789473684121
-13.289999999999747,96.92199999999909
-13.279999999999747,96.88589473684121
-13.269999999999747,96.8495789473675
-13.259999999999748,96.81305263157803
-13.249999999999748,96.77631578947276
-13.239999999999748,96.73936842105171
-13.229999999999748,96.70221052631486
-13.219999999999748,96.66484210526222
-13.209999999999749,96.6272631578938
-13.199999999999749,96.58947368420958
-13.189999999999749,96.55147368420958
-13.17999999999975,96.51326315789379
-13.16999999999975,96.47484210526221
-13.15999999999975,96.43621052631482
-13.14999999999975,96.39736842105167
-13.13999999999975,96.35831578947271
-13.12999999999975,96.31905263157797
-13.11999999999975,96.27957894736744
-13.10999999999975,96.23989473684112
-13.099999999999751,96.19999999999901
-13.089999999999751,96.15989473684112
-13.079999999999751,96.11957894736742
-13.069999999999752,96.07905263157795
-13.059999999999752,96.03831578947268
-13.049999999999752,95.99736842105162
-13.039999999999752,95.95621052631478
-13.029999999999752,95.91484210526214
-13.019999999999753,95.87326315789372
-13.009999999999753,95.8314736842095
-12.999999999999753,95.7894736842095
-12.989999999999753,95.7472631578937
-12.979999999999754,95.70484210526212
-12.969999999999754,95.66221052631474
-12.959999999999754,95.61936842105158
-12.949999999999754,95.57631578947263
-12.939999999999754,95.53305263157789
-12.929999999999755,95.48957894736736
-12.919999999999755,95.44589473684104
-12.909999999999755,95.40199999999894
-12.899999999999755,95.35789473684103
-12.889999999999755,95.31357894736735
-12.879999999999756,95.26905263157786
-12.869999999999756,95.2243157894726
-12.859999999999756,95.17936842105154
-12.849999999999756,95.13421052631469
-12.839999999999756,95.08884210526206
-12.829999999999757,95.04326315789363
-12.819999999999757,94.99747368420941
-12.809999999999757,94.95147368420942
-12.799999999999757,94.90526315789361
-12.789999999999758,94.85884210526203
-12.779999999999758,94.81221052631466
-12.769999999999758,94.7653684210515
-12.759999999999758,94.71831578947256
-12.749999999999758,94.67105263157781
-12.739999999999759,94.62357894736728
-12.729999999999759,94.57589473684095
-12.719999999999759,94.52799999999885
-12.70999999999976,94.47989473684095
-12.69999999999976,94.43157894736726
-12.68999999999976,94.38305263157778
-12.67999999999976,94.33431578947253
-12.66999999999976,94.28536842105146
-12.65999999999976,94.23621052631461
-12.64999999999976,94.18684210526197
-12.63999999999976,94.13726315789356
-12.629999999999761,94.08747368420934
-12.619999999999761,94.03747368420933
-12.609999999999761,93.98726315789355
-12.599999999999762,93.93684210526196
-12.589999999999762,93.88621052631458
-12.579999999999762,93.83536842105143
-12.569999999999762,93.78431578947247
-12.559999999999762,93.73305263157773
-12.549999999999763,93.6815789473672
-12.539999999999763,93.62989473684088
-12.529999999999763,93.57799999999878
-12.519999999999763,93.52589473684088
-12.509999999999764,93.47357894736719
-12.499999999999764,93.42105263157771
-12.489999999999764,93.36831578947243
-12.479999999999764,93.31536842105139
-12.469999999999764,93.26221052631453
-12.459999999999765,93.20884210526191
-12.449999999999765,93.15526315789347
-12.439999999999765,93.10147368420927
-12.429999999999765,93.04747368420927
-12.419999999999765,92.99326315789347
-12.409999999999766,92.93884210526188
-12.399999999999766,92.88421052631452
-12.389999999999766,92.82936842105136
-12.379999999999766,92.77431578947241
-12.369999999999767,92.71905263157765
-12.359999999999767,92.66357894736713
-12.349999999999767,92.60789473684082
-12.339999999999767,92.55199999999871
-12.329999999999767,92.4958947368408
-12.319999999999768,92.43957894736711
-12.309999999999768,92.38305263157764
-12.299999999999768,92.32631578947237
-12.289999999999768,92.26936842105133
-12.279999999999768,92.21221052631446
-12.269999999999769,92.15484210526184
-12.259999999999769,92.09726315789341
-12.249999999999769,92.0394736842092
-12.23999999999977,91.98147368420919
-12.22999999999977,91.9232631578934
-12.21999999999977,91.86484210526181
-12.20999999999977,91.80621052631444
-12.19999999999977,91.74736842105128
-12.18999999999977,91.68831578947234
-12.17999999999977,91.6290526315776
-12.16999999999977,91.56957894736706
-12.159999999999771,91.50989473684075
-12.149999999999771,91.44999999999864
-12.139999999999771,91.38989473684074
-12.129999999999772,91.32957894736705
-12.119999999999772,91.26905263157758
-12.109999999999772,91.2083157894723
-12.099999999999772,91.14736842105125
-12.089999999999772,91.0862105263144
-12.079999999999773,91.02484210526177
-12.069999999999773,90.96326315789334
-12.059999999999773,90.90147368420912
-12.049999999999773,90.83947368420912
-12.039999999999774,90.77726315789333
-12.029999999999774,90.71484210526175
-12.019999999999774,90.65221052631438
-12.009999999999774,90.58936842105122
-11.999999999999774,90.52631578947226
-11.989999999999775,90.46305263157753
-11.979999999999775,90.39957894736699
-11.969999999999775,90.33589473684069
-11.959999999999775,90.27199999999857
-11.949999999999775,90.20789473684067
-11.939999999999776,90.14357894736698
-11.929999999999776,90.0790526315775
-11.919999999999776,90.01431578947223
-11.909999999999776,89.94936842105119
-11.899999999999777,89.88421052631433
-11.889999999999777,89.8188421052617
-11.879999999999777,89.75326315789327
-11.869999999999777,89.68747368420907
-11.859999999999777,89.62147368420906
-11.849999999999778,89.55526315789326
-11.839999999999778,89.48884210526168
-11.829999999999778,89.42221052631432
-11.819999999999778,89.35536842105115
-11.809999999999778,89.28831578947221
-11.799999999999779,89.22105263157746
-11.789999999999779,89.15357894736692
-11.779999999999779,89.08589473684061
-11.76999999999978,89.01799999999851
-11.75999999999978,88.9498947368406
-11.74999999999978,88.88157894736692
-11.73999999999978,88.81305263157745
-11.72999999999978,88.74431578947218
-11.71999999999978,88.67536842105112
-11.70999999999978,88.60621052631427
-11.69999999999978,88.53684210526164
-11.689999999999781,88.46726315789321
-11.679999999999781,88.397473684209
-11.669999999999781,88.327473684209
-11.659999999999782,88.2572631578932
-11.649999999999782,88.18684210526163
-11.639999999999782,88.11621052631426
-11.629999999999782,88.0453684210511
-11.619999999999783,87.97431578947214
-11.609999999999783,87.9030526315774
-11.599999999999783,87.83157894736686
-11.589999999999783,87.75989473684055
-11.579999999999783,87.68799999999844
-11.569999999999784,87.61589473684054
-11.559999999999784,87.54357894736685
-11.549999999999784,87.47105263157738
-11.539999999999784,87.39831578947212
-11.529999999999784,87.32536842105107
-11.519999999999785,87.25221052631422
-11.509999999999785,87.17884210526158
-11.499999999999785,87.10526315789316
-11.489999999999785,87.03147368420895
-11.479999999999785,86.95747368420894
-11.469999999999786,86.88326315789315
-11.459999999999786,86.80884210526156
-11.449999999999786,86.7342105263142
-11.439999999999786,86.65936842105104
-11.429999999999787,86.58431578947209
-11.419999999999787,86.50905263157735
-11.409999999999787,86.43357894736681
-11.399999999999787,86.3578947368405
-11.389999999999787,86.28199999999839
-11.379999999999788,86.20589473684049
-11.369999999999788,86.12957894736681
-11.359999999999788,86.05305263157733
-11.349999999999788,85.97631578947207
-11.339999999999788,85.89936842105101
-11.329999999999789,85.82221052631417
-11.319999999999789,85.74484210526153
-11.309999999999789,85.6672631578931
-11.29999999999979,85.58947368420888
